카테고리,이미지,이름,사이즈,가격,URL,폭(cm),깊이(cm),높이(cm)
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-3-seat-section-kelinge-rust__1213754_pe911258_s5.jpg,SÖDERHAMN 쇠데르함,3인용섹션,575000,https://www.ikea.com/kr/ko/p/soederhamn-3-seat-section-kelinge-rust-s89514572/,186,99,83
소파,https://www.ikea.com/kr/ko/images/products/glostad-2-seat-sofa-knisa-dark-grey__0950864_pe800736_s5.jpg,GLOSTAD 글로스타드,2인용소파,140000,https://www.ikea.com/kr/ko/p/glostad-2-seat-sofa-knisa-dark-grey-10489009/,121,78,41
소파,https://www.ikea.com/kr/ko/images/products/ektorp-2-seat-sofa-kilanda-light-beige__1194833_pe902081_s5.jpg,EKTORP 엑토르프,2인용소파,479000,https://www.ikea.com/kr/ko/p/ektorp-2-seat-sofa-kilanda-light-beige-s29509026/,179,88,45
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-4-seat-sofa-with-chaise-longue-kelinge-rust__1213802_pe911308_s5.jpg,SÖDERHAMN 쇠데르함,4인용소파,1137000,https://www.ikea.com/kr/ko/p/soederhamn-4-seat-sofa-with-chaise-longue-kelinge-rust-s59514639/,291,99,40
소파,https://www.ikea.com/kr/ko/images/products/glostad-3-seat-sofa-knisa-dark-grey__1234948_pe917261_s5.jpg,GLOSTAD 글로스타드,3인용소파,199000,https://www.ikea.com/kr/ko/p/glostad-3-seat-sofa-knisa-dark-grey-40595937/,171,78,41
소파,https://www.ikea.com/kr/ko/images/products/saltmyran-3-seat-sofa-oereryd-blue__1456517_pe992367_s5.jpg,SALTMYRAN 살트뮈란,3인용소파,299000,https://www.ikea.com/kr/ko/p/saltmyran-3-seat-sofa-oereryd-blue-10618520/,187,79,43
소파,https://www.ikea.com/kr/ko/images/products/ektorp-3-seat-sofa-kilanda-light-beige__1194853_pe902103_s5.jpg,EKTORP 엑토르프,3인용소파,599000,https://www.ikea.com/kr/ko/p/ektorp-3-seat-sofa-kilanda-light-beige-s49509011/,218,88,45
소파,https://www.ikea.com/kr/ko/images/products/lillesaeter-3-seat-sofa-axvall-off-white__1576111_pe1032230_s5.jpg,LILLESÄTER 릴레세테르,3인용소파,899000,https://www.ikea.com/kr/ko/p/lillesaeter-3-seat-sofa-axvall-off-white-20619072/,201,90,44
소파,https://www.ikea.com/kr/ko/images/products/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal__1576952_pe1032843_s5.jpg,LANDSKRONA 란스크로나,3인용소파,1029000,https://www.ikea.com/kr/ko/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270304/,204,89,44
소파,https://www.ikea.com/kr/ko/images/products/kivik-3-seat-sofa-grann-bomstad-black__0137863_pe296632_s5.jpg,KIVIK 쉬비크,3인용소파,967000,https://www.ikea.com/kr/ko/p/kivik-3-seat-sofa-grann-bomstad-black-80519526/,227,95,45
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-3-seat-sofa-with-open-end-kelinge-rust__1213792_pe911302_s5.jpg,SÖDERHAMN 쇠데르함,3인용소파,697000,https://www.ikea.com/kr/ko/p/soederhamn-3-seat-sofa-with-open-end-kelinge-rust-s69514629/,192,99,40
소파,https://www.ikea.com/kr/ko/images/products/stockholm-2025-3-seat-sofa-sundhamn-beige__1362734_pe955310_s5.jpg,STOCKHOLM 2025 스톡홀름 2025,3인용소파,1790000,https://www.ikea.com/kr/ko/p/stockholm-2025-3-seat-sofa-sundhamn-beige-50586094/,233,103,42
소파,https://www.ikea.com/kr/ko/images/products/vimle-3-seat-sofa-with-wide-armrests-hallarp-grey__1029991_pe836076_s5.jpg,VIMLE 빔레,3인용소파,939000,https://www.ikea.com/kr/ko/p/vimle-3-seat-sofa-with-wide-armrests-hallarp-grey-s79401434/,255,98,48
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-1-seat-section-gransel-natural-colour__1057486_pe848846_s5.jpg,SÖDERHAMN 쇠데르함,1인용섹션,313000,https://www.ikea.com/kr/ko/p/soederhamn-1-seat-section-gransel-natural-colour-s29442088/,93,99,83
소파,https://www.ikea.com/kr/ko/images/products/ekholma-3-seat-sofa-kilanda-light-beige__1360617_pe954528_s5.jpg,EKHOLMA 엑홀마,3인용소파,579000,https://www.ikea.com/kr/ko/p/ekholma-3-seat-sofa-kilanda-light-beige-s39537420/,207,85,49
소파,https://www.ikea.com/kr/ko/images/products/stockholm-2025-2-seat-sofa-djurmo-grey-white__1362733_pe955309_s5.jpg,STOCKHOLM 2025 스톡홀름 2025,2인용소파,1190000,https://www.ikea.com/kr/ko/p/stockholm-2025-2-seat-sofa-djurmo-grey-white-80586120/,178,99,40
소파,https://www.ikea.com/kr/ko/images/products/ekholma-2-seat-sofa-kilanda-light-beige__1376262_pe960437_s5.jpg,EKHOLMA 엑홀마,2인용소파,479000,https://www.ikea.com/kr/ko/p/ekholma-2-seat-sofa-kilanda-light-beige-s09537407/,167,85,49
소파,https://www.ikea.com/kr/ko/images/products/klippan-2-seat-sofa-bomstad-black__0562963_pe663653_s5.jpg,KLIPPAN 클리판,2인용소파,399000,https://www.ikea.com/kr/ko/p/klippan-2-seat-sofa-bomstad-black-10399315/,177,88,43
소파,https://www.ikea.com/kr/ko/images/products/kivik-3-seat-sofa-tresund-light-beige__1124111_pe875024_s5.jpg,KIVIK 쉬비크,3인용소파,749000,https://www.ikea.com/kr/ko/p/kivik-3-seat-sofa-tresund-light-beige-s49482832/,228,95,45
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-4-seat-sofa-with-chaise-longue-and-open-end-kelinge-rust__1213798_pe911304_s5.jpg,SÖDERHAMN 쇠데르함,4인용소파+긴 의자,1073000,https://www.ikea.com/kr/ko/p/soederhamn-4-seat-sofa-with-chaise-longue-and-open-end-kelinge-rust-s99514637/,285,99,40
소파,https://www.ikea.com/kr/ko/images/products/stockholm-2025-4-seat-sofa-djurmo-grey-white__1577936_pe1033682_s5.jpg,STOCKHOLM 2025 스톡홀름 2025,4인용소파,1990000,https://www.ikea.com/kr/ko/p/stockholm-2025-4-seat-sofa-djurmo-grey-white-s79574321/,308,99,40
소파,https://www.ikea.com/kr/ko/images/products/soederhamn-corner-section-kelinge-rust__1213780_pe911285_s5.jpg,SÖDERHAMN 쇠데르함,코너섹션,384000,https://www.ikea.com/kr/ko/p/soederhamn-corner-section-kelinge-rust-s49514611/,99,99,83
소파,https://www.ikea.com/kr/ko/images/products/glostad-2-seat-sofa-with-chaise-longue-knisa-dark-grey__1234949_pe917266_s5.jpg,GLOSTAD 글로스타드,2인용소파+긴의자,189900,https://www.ikea.com/kr/ko/p/glostad-2-seat-sofa-with-chaise-longue-knisa-dark-grey-s09618804/,121,78,41
